rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Duke,ACC,32-2,128.0909895307412,4,90.68042515742503,1,0.9815141808951234,1,32.984778524971766,2.015221475028231,17.0,1.0,17-1,0.7412753788949251,0.6260276467533494,0.7998768316830498,0.7329748228569016,0.6260276467533494,0.7998768316830498,0.623720336859733,0.633990015864836,116.50679342048302,102.87780983696432,116.23529492526325,103.04870119217857,129.24159069217697,90.80972098172555,128.23330963299705,89.11237683323704,0.9850128374993936,19.0,0.0698588086108719,1457.0,1123.0,1174.9624999999999,1.2400395757311404,0.9557751843143931,0.0,0.9444444444444444,13.617562468505287,2,39,65.79699400577707
2,Michigan,B10,31-3,127.5728872073364,6,90.89134389448223,2,0.9801356750687304,2,31.984378612539178,3.0156213874608238,19.0,1.0,19-1,0.8034311171311286,0.729397664535955,0.8240632631477564,0.7930231444947151,0.729397664535955,0.8240632631477564,0.5899476410537764,0.6603933799788837,119.30223015231641,102.20666626140887,118.87635844889961,102.33336189050114,129.55111012687723,93.68988169539324,127.64295104999509,88.99846613923256,0.9844359418750396,22.0,0.06958002632956684,1719.0,1418.0,1400.3750000000002,1.2275283406230473,1.0125859144871907,0.0,0.95,13.957109435241838,1,40,71.21098718157222
3,Arizona,B12,32-2,126.83085766827224,9,91.26040565526827,3,0.9777971051799342,3,32.98854615672,2.0114538432800004,16.0,2.0,16-2,0.7386390779790444,0.5596823334439985,0.8382820598190481,0.7271883424791911,0.5596823334439985,0.8382820598190481,0.6215559844693033,0.721125098572339,116.90378030011765,103.16521829194448,116.52104887842772,103.3532062712167,126.40817105813329,91.41200698020391,127.41196962515949,91.38275640076711,0.9785897402056472,19.0,0.10001636814101389,1513.0,1265.0,1284.0874999999999,1.178268614872429,0.9851353587664393,0.0,0.8888888888888888,13.609351227328776,3,12,70.01939602970963
4,Florida,SEC,26-7,126.0213841459592,11,92.16668615902982,4,0.9733461959088832,4,26.990171217920807,7.009828782079195,16.0,2.0,16-2,0.7578548396683636,0.6161491059390711,0.8423374575679411,0.7433900014152123,0.6161491059390711,0.8423374575679411,0.6170077803910601,0.683140056776917,118.53246146187155,104.15068786967088,118.02221123879345,104.33796610974348,129.52182479576774,91.64256196558891,127.70495625425642,92.90022357767084,0.9748949327944072,19.0,-0.03395506410411586,1613.0,1307.0,1303.2875,1.2376394310541612,1.0028485656464903,0.0,0.8888888888888888,8.483007326576185,7,253,70.39152928768685
5,Houston,B12,28-6,125.23523077408267,12,92.27230269015988,5,0.9710462023470616,5,28.961952902872525,6.038047097127474,14.0,4.0,14-4,0.7307225635264536,0.5358380939141566,0.8380908124397101,0.7261352577218161,0.5358380939141566,0.8380908124397101,0.6382862255938991,0.7924205375572304,116.33535576980142,103.57255159962631,116.1172224746284,103.6436978478921,127.27252700050852,93.1270928800042,127.75317724820269,95.08873645833272,0.9675739619186187,16.0,0.0008157654126654812,1384.0,1165.0,1162.3625000000002,1.1906784673456,1.0022690855907685,0.0,0.7777777777777778,8.934517925373898,5,171,63.321710427193835
6,Illinois,B10,24-8,131.88259946173827,2,98.07947407568935,24,0.9678772639029857,6,24.964321302905265,8.035678697094736,15.0,5.0,15-5,0.739150035952993,0.5755170415975589,0.8196009448020405,0.7327255170531212,0.5755170415975589,0.8196009448020405,0.6242081922909353,0.7217873852884554,117.12956495966239,103.27435588410414,116.80436749599023,103.33868947936296,133.32758981948788,99.17315729004729,132.71702666503745,100.43552843700165,0.9610252668860605,17.0,-0.049389042603515954,1633.0,1416.0,1312.4,1.2442852788783907,1.0789393477598292,0.0,0.75,6.538511659593075,16,298,65.70881271132599
7,Iowa St.,B12,27-7,123.66318333844971,21,92.49460500865678,6,0.9657669106511272,7,27.977314685267487,7.022685314732514,12.0,6.0,12-6,0.6969050990995447,0.4594372764024704,0.8334871932015546,0.6882996033825078,0.4594372764024704,0.8334871932015546,0.653950842400871,0.7971792045573907,114.77844133608498,103.52931327822526,114.57563328139494,103.76328059505596,121.15628621334834,94.30678524963042,120.55315096320054,96.14533387085262,0.9309672272265598,14.0,-0.011880252097484556,1360.0,1221.0,1200.275,1.1330736706171503,1.0172668763408386,0.0,0.6666666666666666,7.3413764008097395,13,210,66.94654284639091
8,Purdue,B10,27-8,133.25670033062923,1,100.11801820725543,36,0.9640206740166306,8,27.97157385325593,8.028426146744073,13.0,7.0,13-7,0.7797385892922678,0.620971498263747,0.8422473035603039,0.7702858194713966,0.620971498263747,0.8422473035603039,0.5952759771667827,0.7239363337003345,118.30817478342861,102.40497960659677,118.2042179939599,102.81086309800081,132.15142390631937,101.75167242369614,135.08045895909362,100.05097373443094,0.9692965089556066,20.0,0.0029851431749912116,1596.0,1455.0,1300.375,1.2273382678073632,1.1189080073055848,0.0,0.65,9.146905664376302,4,164,64.43064026164603
9,Connecticut,BE,29-5,123.02790175367406,25,94.88825988336714,12,0.951968670741154,9,29.961370886298,5.038629113702001,17.0,3.0,17-3,0.7141122604165804,0.5823230591828392,0.774136470523567,0.7063755030584052,0.5823230591828392,0.774136470523567,0.6734635211349183,0.6500774537778011,114.5761486083375,103.48325692816243,114.35405885951235,103.63912239605048,123.2404880199748,95.40367499971221,122.80697022814338,91.57245118836698,0.9669158753431029,11.0,0.06794633722540411,1554.0,1343.0,1335.8125,1.163336920413606,1.005380620408927,0.0,0.85,8.797051713255671,6,41,64.57713971010925
10,Vanderbilt,SEC,26-8,127.39635651889921,7,99.24235277354366,29,0.9464443154463213,10,26.842783816913148,8.15721618308685,11.0,7.0,11-7,0.7384515912520984,0.5241910234686988,0.8580032753954158,0.7392746771876605,0.5241910234686988,0.8580032753954158,0.6308875878231142,0.8040044068209415,117.18095593019657,104.06465348351628,117.06458400308345,104.00461206854281,125.2205843826711,100.7339706960508,130.46428382152192,102.10704627208852,0.943661761800553,18.0,0.022465501542897615,1470.0,1410.0,1259.2750000000003,1.1673383494471021,1.1196918862043634,0.0,0.6111111111111112,7.254575725428184,14,116,68.97710663015621
11,Gonzaga,WCC,30-3,120.28873564695172,37,93.87691352665922,9,0.945368834118975,11,30.936512862914466,3.063487137085535,16.0,2.0,16-2,0.6288406221344393,0.6414713262628502,0.6112954818381406,0.6262225632587852,0.6414713262628502,0.6112954818381406,0.7525923768782561,0.7045632985467092,113.29030885346405,106.25832119179515,113.21739398044645,106.34729803968312,118.45431419273685,94.72681639952776,122.00418902147271,93.13963023722827,0.9570775550816286,11.0,0.0787132902703811,1465.0,1177.0,1247.2875000000004,1.1745487708327067,0.9436477155427274,0.0,0.8888888888888888,7.358140390445707,12,24,68.9242151666668
12,Michigan St.,B10,25-7,122.8565783988127,28,96.05463644030607,17,0.9442837888306075,12,25.906322477577273,7.093677522422729,15.0,5.0,15-5,0.7471081847636417,0.5799396139877033,0.8308323893467915,0.7437593210150099,0.5799396139877033,0.8308323893467915,0.6267024231057567,0.7631713336895305,118.47763012751182,103.88593011992363,118.25956472832357,103.94958887925269,123.36107849190466,95.11435636929589,123.61407875942865,94.1373113029494,0.9582222021466621,18.0,0.061356308036643825,1539.0,1368.0,1323.2625,1.1630345452999689,1.0338084847110833,0.0,0.75,7.417280288137097,11,52,65.97263526592154
13,Texas Tech,B12,22-10,126.22519341408963,10,98.69879293365591,27,0.9442198368370771,13,22.833063218194056,10.166936781805946,12.0,6.0,12-6,0.7603873805375798,0.6422057080331081,0.8343308367906785,0.7607489139249435,0.6422057080331081,0.8343308367906785,0.6015526110234073,0.6857860451923455,118.20898325342154,102.61315700473726,118.1758034539188,102.69496611952746,128.9064276602379,98.1560455947656,127.8388070221846,100.2981631640941,0.942141867404017,17.0,-0.005367736454829353,1431.0,1298.0,1207.6000000000001,1.1849950314673732,1.0748592249089102,0.0,0.6666666666666666,5.019138236601245,20,189,66.38933293294114
